Institution,Metric,Value,Year,Numeric Value,Rank,Decile
Goldsmiths College,Graduate Prospects,63.6,2009,63.6,58.0,5.0
Aberystwyth,Graduate Prospects,56.2,2009,56.2,96.0,2.0
"City, University of London",Graduate Prospects,77.1,2009,77.1,13.0,9.0
Swansea,Graduate Prospects,61.4,2009,61.4,73.0,4.0
Hull,Graduate Prospects,71.0,2009,71.0,37.0,7.0
Heriot-Watt,Graduate Prospects,72.1,2009,72.1,34.0,8.0
Bradford,Graduate Prospects,73.9,2009,73.9,26.0,8.0
Ulster,Graduate Prospects,62.1,2009,62.1,69.0,4.0
Dundee,Graduate Prospects,73.9,2009,73.9,26.0,8.0
Nottingham Trent,Graduate Prospects,74.0,2009,74.0,25.0,8.0
Hertfordshire,Graduate Prospects,62.1,2009,62.1,69.0,4.0
University of the Arts London,Graduate Prospects,51.5,2009,51.5,107.0,1.0
Bangor,Graduate Prospects,65.9,2009,65.9,51.0,6.0
Bournemouth,Graduate Prospects,70.8,2009,70.8,38.0,7.0
Gloucestershire,Graduate Prospects,60.2,2009,60.2,81.0,3.0
Oxford Brookes,Graduate Prospects,65.9,2009,65.9,51.0,6.0
Portsmouth,Graduate Prospects,65.4,2009,65.4,53.0,6.0
Robert Gordon,Graduate Prospects,77.6,2009,77.6,10.0,10.0
West of Scotland,Graduate Prospects,62.3,2009,62.3,68.0,5.0
Central Lancashire,Graduate Prospects,64.4,2009,64.4,55.0,6.0
De Montfort,Graduate Prospects,64.8,2009,64.8,54.0,6.0
"UWIC, Cardiff",Graduate Prospects,55.3,2009,55.3,100.0,2.0
West of England,Graduate Prospects,64.4,2009,64.4,55.0,6.0
Brighton,Graduate Prospects,67.7,2009,67.7,46.0,6.0
Abertay Dundee,Graduate Prospects,51.4,2009,51.4,108.0,1.0
Birmingham City,Graduate Prospects,63.8,2009,63.8,57.0,5.0
Plymouth,Graduate Prospects,55.3,2009,55.3,100.0,2.0
Chichester,Graduate Prospects,55.5,2009,55.5,99.0,2.0
Salford,Graduate Prospects,63.5,2009,63.5,60.0,5.0
Northumbria,Graduate Prospects,66.4,2009,66.4,50.0,6.0
Winchester,Graduate Prospects,49.7,2009,49.7,111.0,1.0
Bath Spa,Graduate Prospects,55.2,2009,55.2,102.0,1.0
Queen Margaret,Graduate Prospects,69.8,2009,69.8,43.0,7.0
Roehampton,Graduate Prospects,56.9,2009,56.9,92.0,2.0
Napier,Graduate Prospects,77.9,2009,77.9,9.0,10.0
Sunderland,Graduate Prospects,59.3,2009,59.3,86.0,3.0
Sheffield Hallam,Graduate Prospects,60.6,2009,60.6,77.0,4.0
Staffordshire,Graduate Prospects,53.8,2009,53.8,104.0,1.0
Middlesex,Graduate Prospects,61.2,2009,61.2,75.0,4.0
Glamorgan,Graduate Prospects,58.4,2009,58.4,88.0,3.0
